"id","clickbait","site","title"
25892,1,hurriyet.com.tr,İhracatta Türkiye'nin yarısını geçti
25893,1,hurriyet.com.tr,Borsa İstanbul günü düşüşle tamamladı
25894,1,hurriyet.com.tr,Londra ve Manchester uçuşlarında yolcu rekoru kırıldı
4,0,nayn.co,CHP’li İlgezdi’den partisine ve Kılıçdaroğlu’na eleştiri: 40 senedir iktidar olamıyorsa önce kendisini eleştirmeli
5,0,nayn.co,"Vatandaşın derdine ortak olmaya soyunan bir cumhurbaşkanı, trende saatlerce mahsur kaldı"
6,0,nayn.co,Atatürk büstüne silahla ateş edip molotof kokteyli atan sanığa 18 yıl 8 ay hapis cezası
7,0,nayn.co,Bakan Soylu’ya hakaret eden Saadet Partililere adli kontrol talebi
8,0,nayn.co,"”Suudi Arabistan, Kaşıkçı konusu kapansın diye medyaya para ayırdı”"
9,0,nayn.co,"Netflix, şifre paylaşımı yapanların hesaplarını kapatabilir"
10,0,nayn.co,İstanbul’da tanzim satış 1 ay uzadı
1987,0,evrensel.net,"NASA'nın uzay aracı New Horizons, Ultima Thule'ye ulaştı. Böylece Güneş Sistemi'ndeki en uzak keşif girişimi başarıyla sonuçlandı."
1988,0,evrensel.net,"Yeni yıl kutlamaları büyük bir coşkuyla gerçekleşti. Dünya genelinde yüz binlerce kişi, yağışlı ve soğuk havaya aldırmadan meydanları doldurdu."
1989,0,evrensel.net,"ABD Başkanı Donald Trump, Kuzey Kore lideri Kim Jong-un'dan gelen görüşme teklifine olumlu yanıt verdi."
14,0,nayn.co,”İran’la Türkiye tarihinde ilk kez PKK’ya ortak operasyon düzenledi”
25895,1,hurriyet.com.tr,Filin altında kalan bakıcı öldü
16,0,nayn.co,Çin’den Sincan açıklaması: 2014’ten bu yana 13 bin kişi gözaltına alındı
17,0,nayn.co,Suudi Veliaht Prensi’nin bazı yetkileri elinden alındı
18,0,nayn.co,MHP’li vekilden Bülent Arınç’a tepki: Biri bunu sustursun
19,0,nayn.co,Hollanda Utrecht’te tramvayda silahlı saldırı: Yaralılar var
20,0,nayn.co,UEFA Ronaldo’nun yaptığı hareket için soruşturma başlattı
21,0,nayn.co,Erdoğan: İstanbul’u Konstantinapol yapamayacaksınız
